Net Generation (MWh),Avg. Temp,Min Temp,Max. Temp,Precipitation,Year,Month,Weighted_Avg_MWh
-237.0,45.8,34.1,57.5,2.82,2012,1,176146.8710474386
1030.0,47.4,35.9,58.8,2.5,2012,2,176146.8710474386
-286.0,60.0,47.5,72.6,3.84,2012,3,176146.8710474386
21297.0,60.4,48.2,72.5,2.55,2012,4,176146.8710474386
119801.0,71.4,60.8,82.0,7.35,2012,5,176146.8710474386
130250.0,73.5,61.2,85.8,2.7,2012,6,176146.8710474386
195833.0,82.6,72.4,92.9,7.82,2012,7,176146.8710474386
168306.0,77.7,69.4,85.9,6.26,2012,8,176146.8710474386
142834.0,71.4,60.4,82.4,2.75,2012,9,176146.8710474386
19689.0,61.4,50.4,72.5,2.48,2012,10,176146.8710474386
6223.0,46.9,35.3,58.5,0.72,2012,11,176146.8710474386
4339.0,49.5,38.5,60.6,4.3,2012,12,176146.8710474386
1586.0,45.2,34.8,55.5,2.52,2013,1,166193.91850860656
1408.0,43.6,33.0,54.1,4.22,2013,2,166193.91850860656
4261.0,45.8,33.8,57.8,1.71,2013,3,166193.91850860656
-706.0,60.9,49.4,72.4,3.53,2013,4,166193.91850860656
-805.0,67.5,56.6,78.4,3.53,2013,5,166193.91850860656
1057.0,76.2,67.1,85.3,10.14,2013,6,166193.91850860656
13731.0,79.3,71.3,87.4,6.0,2013,7,166193.91850860656
4796.0,76.4,67.4,85.5,4.4,2013,8,166193.91850860656
2269.0,70.4,59.5,81.3,3.98,2013,9,166193.91850860656
-1069.0,61.9,52.0,71.7,2.24,2013,10,166193.91850860656
12122.0,50.0,37.2,62.8,3.1,2013,11,166193.91850860656
-757.0,47.4,35.7,59.1,5.21,2013,12,166193.91850860656
54177.0,38.0,26.2,49.8,3.07,2014,1,91412.7983183009
2362.0,44.2,33.6,54.7,2.96,2014,2,91412.7983183009
3022.0,46.5,34.6,58.4,4.96,2014,3,91412.7983183009
-676.0,61.4,48.9,74.0,4.95,2014,4,91412.7983183009
12034.0,71.0,59.6,82.5,3.0,2014,5,91412.7983183009
3290.0,76.9,65.9,87.9,5.78,2014,6,91412.7983183009
576.0,77.7,68.3,87.1,6.19,2014,7,91412.7983183009
3078.0,75.7,67.2,84.2,6.62,2014,8,91412.7983183009
-219.0,72.9,65.0,80.8,7.75,2014,9,91412.7983183009
-677.0,62.9,50.7,75.1,2.29,2014,10,91412.7983183009
149.0,47.8,36.6,58.9,3.3,2014,11,91412.7983183009
1554.0,45.8,36.0,55.5,4.51,2014,12,91412.7983183009
14937.0,41.3,30.7,52.0,5.4,2015,1,154734.30917468257
53996.0,36.7,26.9,46.5,4.06,2015,2,154734.30917468257
-560.0,52.2,40.4,64.0,4.44,2015,3,154734.30917468257
3748.0,61.9,51.1,72.7,5.03,2015,4,154734.30917468257
6999.0,70.2,59.1,81.2,4.59,2015,5,154734.30917468257
21042.0,79.9,69.6,90.2,5.03,2015,6,154734.30917468257
5845.0,80.3,70.9,89.8,5.57,2015,7,154734.30917468257
115.0,77.6,67.8,87.4,3.51,2015,8,154734.30917468257
3899.0,73.8,65.5,82.1,5.07,2015,9,154734.30917468257
74676.0,61.7,51.2,72.3,5.18,2015,10,154734.30917468257
146305.0,56.2,46.2,66.2,7.63,2015,11,154734.30917468257
-538.0,57.2,48.0,66.4,6.28,2015,12,154734.30917468257
984.0,40.7,30.9,50.4,2.94,2016,1,156230.80058945296
3431.0,45.4,35.5,55.4,7.61,2016,2,156230.80058945296
9033.0,58.7,46.7,70.8,2.35,2016,3,156230.80058945296
34889.0,60.6,48.1,73.0,3.61,2016,4,156230.80058945296
21900.0,68.5,58.2,78.8,5.11,2016,5,156230.80058945296
11492.0,77.5,66.9,88.0,4.53,2016,6,156230.80058945296
27253.0,82.6,72.6,92.7,6.62,2016,7,156230.80058945296
11903.0,81.8,72.2,91.4,4.28,2016,8,156230.80058945296
24403.0,75.9,66.8,85.0,10.39,2016,9,156230.80058945296
148931.0,65.4,54.3,76.5,9.01,2016,10,156230.80058945296
255263.0,52.9,39.8,66.1,0.88,2016,11,156230.80058945296
6754.0,45.3,35.4,55.3,3.2,2016,12,156230.80058945296
11457.126,47.6,37.6,57.6,3.18,2017,1,228866.44225524156
10265.796,53.1,39.5,66.6,1.16,2017,2,228866.44225524156
11442.459,51.6,38.8,64.4,3.69,2017,3,228866.44225524156
8387.083,67.1,55.5,78.7,8.01,2017,4,228866.44225524156
9990.929,70.7,60.0,81.5,4.38,2017,5,228866.44225524156
10431.029,76.5,66.1,86.9,4.43,2017,6,228866.44225524156
11302.712,81.5,71.7,91.3,3.89,2017,7,228866.44225524156
11041.672,78.7,69.6,87.8,4.6,2017,8,228866.44225524156
10690.171,73.2,63.1,83.3,4.31,2017,9,228866.44225524156
10104.502,65.0,52.9,77.0,3.23,2017,10,228866.44225524156
11330.739,51.5,38.9,64.1,1.15,2017,11,228866.44225524156
13037.782,43.8,33.6,54.0,3.32,2017,12,228866.44225524156
89699.779,37.8,25.6,50.0,3.99,2018,1,214565.91244187835
28770.112,54.6,43.4,65.6,2.03,2018,2,214565.91244187835
35174.93,47.5,36.5,58.5,4.27,2018,3,214565.91244187835
24613.476,58.7,45.2,72.2,4.58,2018,4,214565.91244187835
30420.604,74.0,64.3,83.7,6.07,2018,5,214565.91244187835
34895.463,79.2,68.7,89.8,2.74,2018,6,214565.91244187835
39044.279,79.6,68.9,90.2,7.07,2018,7,214565.91244187835
38735.451,79.5,70.1,88.9,6.31,2018,8,214565.91244187835
34388.602,78.8,69.6,87.9,15.1,2018,9,214565.91244187835
33061.159,64.1,53.5,74.8,2.31,2018,10,214565.91244187835
34319.627,51.3,41.1,61.5,4.81,2018,11,214565.91244187835
34890.518,48.1,38.6,57.6,6.09,2018,12,214565.91244187835
13227.576,44.1,34.2,54.0,2.81,2019,1,228687.13097195356
12414.838,49.8,38.8,60.8,3.53,2019,2,228687.13097195356
11981.746,50.7,39.2,62.2,3.37,2019,3,228687.13097195356
8917.79,63.4,52.1,74.8,5.27,2019,4,228687.13097195356
10480.452,75.2,62.7,87.6,2.3,2019,5,228687.13097195356
11733.674,76.7,66.2,87.2,4.69,2019,6,228687.13097195356
13358.421,81.6,70.4,92.8,5.84,2019,7,228687.13097195356
13179.98,78.7,68.5,88.9,6.49,2019,8,228687.13097195356
12091.533,76.5,66.0,86.9,7.08,2019,9,228687.13097195356
11324.35,66.9,56.2,77.6,3.74,2019,10,228687.13097195356
10157.413,48.7,38.1,59.4,3.16,2019,11,228687.13097195356
11368.227,48.5,37.2,59.8,4.04,2019,12,228687.13097195356
17688.204,48.2,37.6,58.6,3.67,2020,1,226443.88389941351
17130.056,49.5,39.4,59.6,5.66,2020,2,226443.88389941351
14925.378,57.1,46.2,68.0,2.93,2020,3,226443.88389941351
8941.499,59.7,46.6,72.7,3.98,2020,4,226443.88389941351
13056.879,65.9,55.6,76.3,8.05,2020,5,226443.88389941351
14246.431,75.6,66.8,84.5,5.06,2020,6,226443.88389941351
18018.819,82.1,71.8,92.4,3.8,2020,7,226443.88389941351
16744.173,79.6,71.4,87.8,10.87,2020,8,226443.88389941351
12800.003,71.1,61.8,80.3,7.72,2020,9,226443.88389941351
11977.59,64.9,53.9,75.8,2.85,2020,10,226443.88389941351
12726.421,56.1,44.2,68.0,7.68,2020,11,226443.88389941351
17142.547,43.6,32.5,54.8,4.16,2020,12,226443.88389941351
25016.875,41.5,31.8,51.1,5.88,2021,1,232968.16037476098
22310.976,43.5,34.1,52.9,7.02,2021,2,232968.16037476098
20010.747,54.2,42.4,66.0,3.51,2021,3,232968.16037476098
13328.372,60.6,47.2,74.1,2.23,2021,4,232968.16037476098
16972.425,67.4,54.3,80.6,2.24,2021,5,232968.16037476098
21810.393,75.2,65.7,84.8,8.82,2021,6,232968.16037476098
28131.76,78.3,68.9,87.8,8.5,2021,7,232968.16037476098
27493.332,79.3,70.2,88.4,5.97,2021,8,232968.16037476098
22401.267,72.4,60.9,83.8,2.24,2021,9,232968.16037476098
21597.201,65.8,54.2,77.2,2.44,2021,10,232968.16037476098
26806.9,49.0,36.0,61.9,0.87,2021,11,232968.16037476098
26057.752,51.8,40.4,63.2,3.03,2021,12,232968.16037476098
51169.626,39.8,28.6,50.9,4.74,2022,1,224434.5098854503
42531.647,47.4,35.2,59.7,1.63,2022,2,224434.5098854503
40486.951,54.8,41.7,67.8,2.43,2022,3,224434.5098854503
26855.817,61.0,48.0,74.0,3.11,2022,4,224434.5098854503
34698.092,71.1,60.4,81.8,3.75,2022,5,224434.5098854503
46091.131,77.0,65.3,88.6,1.35,2022,6,224434.5098854503
54107.601,81.2,72.0,90.5,6.17,2022,7,224434.5098854503
51532.233,78.2,68.6,87.8,3.84,2022,8,224434.5098854503
40664.163,72.3,61.2,83.4,4.24,2022,9,224434.5098854503
39082.395,59.2,47.9,70.5,2.01,2022,10,224434.5098854503
44543.833,55.0,43.9,66.0,2.49,2022,11,224434.5098854503
76528.511,43.3,32.8,53.8,2.63,2022,12,224434.5098854503
